name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_Na	floating_NH3
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2622.380279	1	8
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2639.406829	1	9
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2656.433378	1	10
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2673.459927	1	11
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2690.486476	1	12
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2508.149831	2	0
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2525.176380	2	1
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2542.202929	2	2
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2559.229478	2	3
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2576.256027	2	4
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2593.282576	2	5
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2610.309125	2	6
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2627.335675	2	7
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2644.362224	2	8
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2661.388773	2	9
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2678.415322	2	10
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2695.441871	2	11
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2544.142757	0	0
